Candidate_ID,Order_ID,Warehouse_ID,Warehouse_Address,Base_Unit_Cost_USD,Items_Sold_To_Date
OPT-042,ORD-8825,WH-Central-TX,"Plot 12, HITEC City Road, Madhapur, Hyderabad, Telangana 500081, India",86.7,1084
OPT-043,ORD-8825,WH-Southwest-AZ,"Sitapura Industrial Area, Jaipur, Rajasthan 302022, India",85.0,1084
OPT-044,ORD-8825,WH-GreatLakes-MI,"Hingna Industrial Area, Nagpur, Maharashtra 440016, India",81.6,1084
OPT-045,ORD-8825,WH-North-IL,"Sector 18, Rohini Industrial Area, New Delhi, Delhi 110085, India",85.85,1084
OPT-046,ORD-8825,WH-Mountain-CO,"Sanand Industrial Area, Sanand, Ahmedabad, Gujarat 382110, India",87.55,1084
OPT-047,ORD-8825,WH-Midwest-OH,"Peenya Industrial Area, Bengaluru, Karnataka 560058, India",85.0,1084
OPT-048,ORD-8825,WH-SouthCentral-OK,"Pithampur Industrial Area, Indore, Madhya Pradesh 453331, India",80.75,1084
OPT-049,ORD-8825,WH-Pacific-WA,"Avinashi Road Industrial Estate, Coimbatore, Tamil Nadu 641018, India",90.1,1084
OPT-050,ORD-8825,WH-MidAtlantic-VA,"Transport Nagar, Lucknow, Uttar Pradesh 226012, India",85.85,1084
OPT-051,ORD-8826,WH-West-CA,"MIDC Andheri East, Andheri East, Mumbai, Maharashtra 400093, India",135.0,654
OPT-052,ORD-8826,WH-Central-TX,"Plot 12, HITEC City Road, Madhapur, Hyderabad, Telangana 500081, India",127.5,654
OPT-053,ORD-8826,WH-Southwest-AZ,"Sitapura Industrial Area, Jaipur, Rajasthan 302022, India",125.0,654
OPT-054,ORD-8826,WH-GreatLakes-MI,"Hingna Industrial Area, Nagpur, Maharashtra 440016, India",120.0,654
OPT-055,ORD-8826,WH-North-IL,"Sector 18, Rohini Industrial Area, New Delhi, Delhi 110085, India",126.25,654
OPT-056,ORD-8826,WH-Midwest-OH,"Peenya Industrial Area, Bengaluru, Karnataka 560058, India",125.0,654
OPT-057,ORD-8826,WH-Mountain-CO,"Sanand Industrial Area, Sanand, Ahmedabad, Gujarat 382110, India",128.75,654
OPT-058,ORD-8826,WH-SouthCentral-OK,"Pithampur Industrial Area, Indore, Madhya Pradesh 453331, India",118.75,654
OPT-059,ORD-8826,WH-Pacific-WA,"Avinashi Road Industrial Estate, Coimbatore, Tamil Nadu 641018, India",132.5,654
OPT-060,ORD-8826,WH-MidAtlantic-VA,"Transport Nagar, Lucknow, Uttar Pradesh 226012, India",126.25,654
OPT-061,ORD-8827,WH-West-CA,"MIDC Andheri East, Andheri East, Mumbai, Maharashtra 400093, India",34.56,1894
OPT-062,ORD-8827,WH-Central-TX,"Plot 12, HITEC City Road, Madhapur, Hyderabad, Telangana 500081, India",32.64,1894
OPT-063,ORD-8827,WH-Southwest-AZ,"Sitapura Industrial Area, Jaipur, Rajasthan 302022, India",32.0,1894
OPT-064,ORD-8827,WH-GreatLakes-MI,"Hingna Industrial Area, Nagpur, Maharashtra 440016, India",30.72,1894
OPT-065,ORD-8827,WH-North-IL,"Sector 18, Rohini Industrial Area, New Delhi, Delhi 110085, India",32.32,1894
OPT-066,ORD-8827,WH-Midwest-OH,"Peenya Industrial Area, Bengaluru, Karnataka 560058, India",32.0,1894
OPT-067,ORD-8827,WH-SouthCentral-OK,"Pithampur Industrial Area, Indore, Madhya Pradesh 453331, India",30.4,1894
OPT-068,ORD-8827,WH-Mountain-CO,"Sanand Industrial Area, Sanand, Ahmedabad, Gujarat 382110, India",32.96,1894
OPT-069,ORD-8827,WH-Pacific-WA,"Avinashi Road Industrial Estate, Coimbatore, Tamil Nadu 641018, India",33.92,1894
OPT-070,ORD-8827,WH-Rockies-UT,"Chakan MIDC, Pune, Maharashtra 410501, India",33.28,1894
OPT-071,ORD-8828,WH-West-CA,"MIDC Andheri East, Andheri East, Mumbai, Maharashtra 400093, India",19.44,2501
OPT-072,ORD-8828,WH-Southwest-AZ,"Sitapura Industrial Area, Jaipur, Rajasthan 302022, India",18.0,2501
OPT-073,ORD-8828,WH-Central-TX,"Plot 12, HITEC City Road, Madhapur, Hyderabad, Telangana 500081, India",18.36,2501
OPT-074,ORD-8828,WH-North-IL,"Sector 18, Rohini Industrial Area, New Delhi, Delhi 110085, India",18.18,2501
OPT-075,ORD-8828,WH-GreatLakes-MI,"Hingna Industrial Area, Nagpur, Maharashtra 440016, India",17.28,2501
OPT-076,ORD-8828,WH-Mountain-CO,"Sanand Industrial Area, Sanand, Ahmedabad, Gujarat 382110, India",18.54,2501
OPT-077,ORD-8828,WH-Midwest-OH,"Peenya Industrial Area, Bengaluru, Karnataka 560058, India",18.0,2501
OPT-078,ORD-8828,WH-SouthCentral-OK,"Pithampur Industrial Area, Indore, Madhya Pradesh 453331, India",17.1,2501
OPT-079,ORD-8828,WH-Pacific-WA,"Avinashi Road Industrial Estate, Coimbatore, Tamil Nadu 641018, India",19.08,2501
OPT-080,ORD-8828,WH-MidAtlantic-VA,"Transport Nagar, Lucknow, Uttar Pradesh 226012, India",18.18,2501
